iter,trialnum,rand,scenario
1,20,0.9216326530612244,1
2,20,1,1
3,20,0.96,1
4,20,0.96,1
5,20,1,1
6,20,1,1
7,20,0.9216326530612244,1
8,20,0.9216326530612244,1
9,20,0.96,1
10,20,1,1
11,20,1,1
12,20,0.9216326530612244,1
13,20,0.96,1
14,20,0.96,1
15,20,1,1
16,20,1,1
17,20,1,1
18,20,1,1
19,20,1,1
20,20,1,1
21,20,1,1
22,20,1,1
23,20,1,1
24,20,0.8848979591836734,1
25,20,0.8497959183673469,1
26,20,1,1
27,20,0.9216326530612244,1
28,20,0.96,1
29,20,0.96,1
30,20,0.96,1
31,20,0.96,1
32,20,0.9216326530612244,1
33,20,1,1
34,20,1,1
35,20,1,1
36,20,1,1
37,20,0.96,1
38,20,0.96,1
39,20,0.96,1
40,20,1,1
41,20,0.96,1
42,20,1,1
43,20,0.9216326530612244,1
44,20,1,1
45,20,0.9216326530612244,1
46,20,0.96,1
47,20,1,1
48,20,1,1
49,20,0.9216326530612244,1
50,20,0.96,1
51,20,0.96,1
52,20,0.96,1
53,20,0.9216326530612244,1
54,20,0.96,1
55,20,1,1
56,20,1,1
57,20,0.9216326530612244,1
58,20,1,1
59,20,1,1
60,20,0.96,1
61,20,0.9216326530612244,1
62,20,1,1
63,20,1,1
64,20,0.9216326530612244,1
65,20,1,1
66,20,0.96,1
67,20,1,1
68,20,1,1
69,20,1,1
70,20,1,1
71,20,0.96,1
72,20,1,1
73,20,1,1
74,20,0.96,1
75,20,1,1
76,20,0.9216326530612244,1
77,20,1,1
78,20,0.96,1
79,20,0.96,1
80,20,1,1
81,20,1,1
82,20,1,1
83,20,0.9216326530612244,1
84,20,0.96,1
85,20,1,1
86,20,0.96,1
87,20,1,1
88,20,1,1
89,20,1,1
90,20,1,1
91,20,1,1
92,20,0.96,1
93,20,1,1
94,20,1,1
95,20,0.96,1
96,20,0.96,1
97,20,0.96,1
98,20,1,1
99,20,1,1
100,20,0.9216326530612244,1
